gen,BASIS_RR,BASIS_D,REB_DUTY,feasible
7,0.856297,13.7383,88145.3,1
7,0.855366,13.866,88768.7,1
7,0.909005,14.5504,94472.9,1
7,0.858675,13.8687,88910.2,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.844499,13.8687,88363,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
7,0.917356,13.8687,91174.5,1
8,0.774263,10.3751,68404,1
8,0.781596,10.3313,68398.9,1
8,0.838544,10.3275,70017.7,1
8,0.91844,10.1705,71475.5,1
8,0.917349,10.2094,71651.8,1
8,0.917356,10.2094,71652,1
8,0.918432,10.2106,71689.3,1
8,0.91844,10.2106,71689.5,1
8,0.95491,10.2089,72716,1
8,0.981965,10.4396,74756.3,1
8,0.981965,10.4246,74673.7,1
8,0.981965,10.4246,74673.7,1
8,0.981846,10.4246,74670.2,1
8,0.983167,10.4246,74708.5,1
8,0.983048,10.4246,74705.1,1
8,0.983048,10.4246,74705.1,1
8,0.917614,11.4501,78280.4,1
8,0.917364,11.5274,78684.6,1
8,0.690611,13.8653,82400.8,1
8,0.690361,13.9453,82767.6,1
8,1.28187,15.5658,116002,1
8,0.856297,13.7355,88130.7,1
8,0.856297,13.7385,88146,1
8,0.855362,13.8687,88782.3,1
8,0.856301,13.8687,88818.5,1
9,0.774263,10.1668,67375.6,1
9,0.781596,10.3313,68398.9,1
9,0.774209,10.3313,1e+10,0
9,0.78165,10.3751,1e+10,0
9,0.838544,10.3275,1e+10,0
9,0.838544,10.3313,1e+10,0
9,0.91844,10.1668,1e+10,0
9,0.91844,13.1964,1e+10,0
9,0.917349,10.2094,1e+10,0
9,0.917349,10.2094,1e+10,0
9,0.917356,10.2094,1e+10,0
9,0.917356,10.2094,1e+10,0
9,0.918432,10.2106,1e+10,0
9,0.918432,10.2106,1e+10,0
9,0.91844,10.2106,1e+10,0
9,0.91844,10.2106,1e+10,0
9,0.95491,10.2239,1e+10,0
9,0.95491,10.2089,1e+10,0
9,0.981844,10.4246,1e+10,0
9,0.981968,10.4246,1e+10,0
9,0.981965,10.4246,1e+10,0
9,0.981965,10.4246,1e+10,0
9,0.981965,10.4246,1e+10,0
9,0.981965,10.4246,1e+10,0
9,0.981965,10.4246,1e+10,0
9,1.12708,10.1213,1e+10,0
9,0.983048,10.4246,1e+10,0
9,0.983048,10.4246,1e+10,0
9,0.983048,10.4246,1e+10,0
9,0.983048,10.4246,1e+10,0
10,0.774263,10.1668,1e+10,0
10,0.781596,10.3313,1e+10,0
10,0.781596,10.3268,1e+10,0
10,0.781596,10.3028,1e+10,0
10,0.838544,10.3315,1e+10,0
10,0.838544,10.3273,1e+10,0
10,0.667895,10.1725,1e+10,0
10,0.895174,10.2094,1e+10,0
10,0.917356,10.2094,1e+10,0
10,0.918432,10.2106,1e+10,0
10,0.91844,10.2106,1e+10,0
10,0.91844,10.2106,1e+10,0
10,1.20301,10.9521,1e+10,0
10,0.95491,10.2239,1e+10,0
10,0.981846,10.4246,1e+10,0
10,0.981965,10.1158,1e+10,0
10,0.981965,10.1946,1e+10,0
10,0.981965,10.4246,1e+10,0
10,0.981965,10.4246,1e+10,0
10,0.981965,12.7569,1e+10,0
10,0.855703,11.1583,1e+10,0
10,1.16514,10.285,1e+10,0
10,1.12239,10.4246,1e+10,0
11,0.911271,10.1668,1e+10,0
11,0.774263,10.1668,1e+10,0
11,0.774261,10.1634,1e+10,0
11,0.781597,10.3346,1e+10,0
11,0.781596,10.3313,1e+10,0
11,0.866813,10.3313,1e+10,0
11,0.774263,10.3751,1e+10,0
11,0.774263,10.3751,1e+10,0
11,0.838544,10.3275,1e+10,0
11,0.838544,10.3313,1e+10,0
11,0.91844,10.1668,1e+10,0
11,0.91844,10.1668,1e+10,0
11,0.91844,10.1705,1e+10,0
11,0.91844,10.1705,1e+10,0
11,0.917349,10.2094,1e+10,0
11,0.917349,11.6033,1e+10,0
11,0.917356,10.2094,1e+10,0
11,0.917349,10.2094,1e+10,0
11,0.918432,10.2106,1e+10,0
11,0.918432,10.2106,1e+10,0
11,0.91844,10.2106,1e+10,0
11,0.91844,10.2106,1e+10,0
11,0.95491,10.2233,1e+10,0
11,0.95491,10.1447,1e+10,0
11,0.98185,10.4246,1e+10,0
11,0.981962,10.4246,1e+10,0
11,0.981965,11.6949,1e+10,0
12,0.774263,10.1668,1e+10,0
